"abbr","title"
"Can Data Rep Hydrogr Ocean Sci","Canadian Data Report of Hydrography and Ocean Sciences"
"Can Entomol","Canadian Entomologist"
"Can FieldNat","Canadian FieldNaturalist"
"Can Fish Annu Stat Rev","Canadian Fisheries Annual Statistical Review"
"Can Fish Int Trade","Canadian Fisheries International Trade"
"Can Fish Land","Canadian Fisheries Landings"
"Can Fish Prod Inventories","Canadian Fisheries Products and Inventories"
"Can Fish Stat Highlights","Canadian Fisheries Statistical Highlights"
"Can Geogr","Canadian Geographer"
"Can Geotech J","Canadian Geotechnical Journal"
"Can Ind Rep Fish Aquat Sci","Canadian Industry Report of Fisheries and Aquatic Sciences"
"Can J Addict","Canadian Journal of Addiction"
"Can J Aging","Canadian Journal on Aging"
"Can J Agr Sci","Canadian Journal of Agricultural Science"
"Can J Agric Econ","Canadian Journal of Agricultural Economcs"
"Can J Anaesth","Canadian Journal of Anaesthesia"
"Can J Anal Sci Spectros","Canadian Journal of Analytical Sciences and Spectroscopy"
"Can J Anim Sci","Canadian Journal of Animal Science"
"Can J Appl Physiol","Canadian Journal of Applied Physiology"
"Can J Appl Sci","Canadian Journal of Applied Sciences"
"Can J Appl Spectrosc","Canadian Journal of Applied Spectroscopy"
"Can J Appl Sport Sci","Canadian Journal of Applied Sport Sciences"
"Can J Behav Sci","Canadian Journal of Behavioural Science"
"Can J Biochem","Canadian Journal of Biochemistry"
"Can J Biochem Cell Biol","Canadian Journal of Biochemistry and Cell Biology"
"Can J Bot","Canadian Journal of Botany"
"Can J Chem","Canadian Journal of Chemistry"
"Can J Chem Eng","Canadian Journal of Chemical Engineering"
"Can J Civ Eng","Canadian Journal of Civil Engineering"
"Can J Comp Med","Canadian Journal of Comparative Medicine"
"Can J Comp Med Vet Sci","Canadian Journal of Comparative Medicine and Veterinary Science"
"Can J Diabetes","Canadian Journal of Diabetes"
"Can J Diet Pract Res","Canadian Journal of Dietetic Practice and Research"
"Can J Earth Sci","Canadian Journal of Earth Sciences"
"Can J Electr Comput Eng","Canadian Journal of Electrical and Computer Engineering"
"Can J Emergency Med","Canadian Journal of Emergency Medicine"
"Can J Fish Aquat Sci","Canadian Journal of Fisheries and Aquatic Sciences"
"Can J Fish AquatSci","Canadian Journal of Fisheries and Aquatic Sciences"
"Can J For Res","Canadian Journal of Forest Research"
"Can J Gastroenterol Hepatol","Canadian Journal of Gastroenterology and Hepatology"
"Can J Genet Cytol","Canadian Journal of Genetics and Cytology"
"Can J Hosp Pharm","Canadian Journal of Hospital Pharmacy"
"Can J Infect Dis Med Microbiol","Canadian Journal of Infectious Diseases and Medical Microbiology"
"Can J Kidney Health Dis","Canadian Journal of Kidney Health and Disease"
"Can J Math","Canadian Journal of Mathematics"
"Can J Med Sci","Canadian Journal of Medical Sciences"
"Can J Med Technol","Canadian Journal of Medical Technology"
"Can J Microbiol","Canadian Journal of Microbiology"
"Can J Neurol","Canadian Journal of Neurology"
"Can J Neurol Sci","Canadian Journal of Neurological Sciences"
"Can J Nurs Res","Canadian Journal of Nursing Research"
"Can J Occup Ther","Canadian Journal of Occupational Therapy"
"Can J Ophthalmol","Canadian Journal of Ophthalmology"
"Can J Pharm Sci","Canadian Journal of Pharmaceutical Sciences"
"Can J Phys","Canadian Journal of Physics"
"Can J Physiol Pharmacol","Canadian Journal of Physiology and Pharmacology"
"Can J Plant Pathol","Canadian Journal of Plant Pathology"
"Can J Plant Sci","Canadian Journal of Plant Science"
"Can J Plast Surg","Canadian Journal of Plastic Surgery"
"Can J Public Health","Canadian Journal of Public Health"
"Can J Pure Appl Sci","Canadian Journal of Pure and Applied Science"
"Can J Reg Sci","Canadian Journal of Regional Science"
"Can J Remote Sens","Canadian Journal of Remote Sensing"
"Can J Res","Canadian Journal of Research"
"Can J Sci Math Technol Educ","Canadian Journal of Science Mathematics and Technology Education"
"Can J Soil Sci","Canadian Journal of Soil Science"
"Can J Spectrosc","Canadian Journal of Spectroscopy"
"Can J Sport Sci","Canadian Journal of Sport Science"
"Can J Stat","Canadian Journal of Statistics"
"Can J Surg","Canadian Journal of Surgery"
"Can J Urban Res","Canadian Journal of Urban Research"
"Can J Vet Res","Canadian Journal of Veterinary Research"
"Can J Zool","Canadian Journal of Zoology"
"Can Manuscr Rep Fish Aquat Sci","Canadian Manuscript Report of Fisheries and Aquatic Sciences"
"Can Math Bull","Canadian Mathematical Bulletin"
"Can Med Assoc J","Canadian Medical Association Journal"
"Can Metall Q","Canadian Metallurgical Quarterly"
"Can Min J","Canadian Mining Journal"
"Can Mineral","Canadian Mineralogist"
"Can Mus Nat Publ Zool","Canadian Museum of Nature Publications in Zoology"
"Can Pharm J","Canadian Pharmacists Journal"
"Can Respir J","Canadian Respiratory Journal"
"Can Soc Forensic Sci J","Canadian Society of Forensic Science Journal"
"Can Spec Publ Fish Aquat Sci","Canadian Special Publication of Fisheries and Aquatic Sciences"
"Can Tech Rep Fish Aquat Sci","Canadian Technical Report of Fisheries and Aquatic Sciences"
"Can Tech Rep Hydrogr Ocean Sci","Canadian Technical Report of Hydrography and Ocean Sciences"
"Can Transl Fish Aquat Sci","Canadian Translations of Fisheries and Aquatic Sciences"
"Can Water Resour J","Canadian Water Resources Journal"
"Can Young Sci J","Canadian Young Scientist Journal"
"Cancer Biomarkers","Cancer Biomarkers"
"Cancer Biother Radiopharm","Cancer Biotherapy and Radiopharmaceuticals"
"Cancer Chemother Pharmacol","Cancer Chemotheraphy and Pharmacology"
"Cancer Inf","Cancer Informatics"
"Cancer Nanotechnol","Cancer Nanotechnology"
"Canine Genet Epidemiol","Canine Genetics and Epidemiology"
"Canine Med Genet","Canine Medicine and Genetics"
"Cannabis Cannabinoid Res","Cannabis and Cannabinoid Research"
"Carbohydr Chem","Carbohydrate Chemistry"
"Carbohydr Lett","Carbohydrate Letters"
"Carbohydr Polym","Carbohydrate Polymers"
"Carbohydr Res","Carbohydrate Research"
"Carbon Balance Manage","Carbon Balance and Management"
"Carbon Energy","Carbon Energy"
"Carbon Lett","Carbon Letters"
"Carbon Manage","Carbon Management"
"Carbon Resour Convers","Carbon Resources Conversion"
"Carbonates Evaporites","Carbonates and Evaporites"
"Cardiovasc Drug Rev","Cardiovascular Drug Reviews"
"Cardiovasc Pathol","Cardiovascular Pathology"
"Cardiovasc Ther","Cardiovascular Therapeutics"
"Cardiovasc Toxicol","Cardiovascular Toxicology"
"Caribb Mar Stud","Carribean Marine Studies"
"Carnegie Inst Wash New Serv Bull","Carnegie Institution of Washington News Service Bulletin"
"Carnegie Inst Wash Year B","Carnegie Institution of Washington Year Book"
"Carolinea Beitr Naturkd Forsch Suedwestdeutschl","Carolinea Beitraege zur naturkundlichen Forschung in Suedwestdeutschland"
"Carpathian J Food Sci Technol","Carpathian Journal of Food Science and Technology"
"Caryologia","Caryologia"
"Case Rep Genet","Case Reports in Genetics"
"Case Stud Chem Environ Eng","Case Studies in Chemical and Environmental Engineering"
"Case Stud Constr Mater","Case Studies in Construction Materials"
"Case Stud Eng Fail Anal","Case Studies in Engineering Failure Analysis"
"Case Stud Environ","Case Studies in the Environment"
"Case Stud Mech Syst Signal Process","Case Studies in Mechanical Systems and Signal Processing"
"Case Stud NondestrTest Eval","Case Studies in Nondestructive Testing and Evaluation"
"Case Stud Struct Eng","Case Studies in Structural Engineering"
"Case Stud Therm Eng","Case Studies in Thermal Engineering"
"Case Stud Transp Policy","Case Studies in Transport Policy"
"Case West Reserve J Int Law","Case Western Reserve Journal of International Law"
"Castanea","Castanea"
"Catal Commun","Catalysis Communications"
"Catal Ind","Catalysis in Industry"
"Catal Lett","Catalysis Letters"
"Catal Rev Sci Eng","Catalysis Reviews Science and Engineering"
"Catal Sci Technol","Catalysis Science and Technology"
"Catal Struct React","Catalysis Structure and Reactivity"
"Catal Surv Asia","Catalysis Surveys from Asia"
"Catal Surv Jpn","Catalysis Surveys from Japan"
"Catal Today","Catalysis Today"
"CCAMLR Sci","CCAMLR Science"
"CCORE Publ","CCORE Publications"
"CCS Chem","CCS Chemistry"
"CECAF Stat Bull","CECAF Statistical Bulletin"
"CECAFECAF Ser","CECAFECAF Series"
"Cell Biochem Funct","Cell Biochemistry and Function"
"Cell Biol Int","Cell Biology International"
"Cell Biosci","Cell and Bioscience"
"Cell Chem Biol","Cell Chemical Biology"
"Cell Death Differ","Cell Death and Differentiation"
"Cell Death Dis","Cell Death and Disease"
"Cell Death Discovery","Cell Death Discovery"
"Cell Differ Dev","Cell Differentiation and Development"
"Cell Discovery","Cell Discovery"
"Cell Host Microbe","Cell Host and Microbe"
"Cell Med","Cell Medicine"
"Cell Metab","Cell Metabolism"
"Cell Mol Bioeng","Cellular and Molecular Bioengineering"
"Cell Mol Biol Lett","Cellular and Molecular Biology Letters"
"Cell Mol Biol Rep","Cell and Molecular Biology Reports"
"Cell Mol Immunol","Cellular and Molecular Immunology"
"Cell Mol Life Sci","Cellular and Molecular Life Sciences"
"Cell Physiol Biochem","Cellular Physiology and Biochemistry"
"Cell Polym","Cellular Polymers"
"Cell Preserv Technol","Cell Preservation and Technology"
"Cell Rep Phys Sci","Cell Reports Physical Science"
"Cell Reprogramming","Cellular Reprogramming"
"Cell Res","Cell Research"
"Cell Signalling","Cellular Signalling"
"Cell Tissue Res","Cell Tissue Research"
"Cell Transplant","Cell Transplantation"
"Cellul Chem Technol","Cellulose Chemistry and Technology"
"Cem Concr Compos","Cement and Concrete Composites"
"Cem Concr Res","Cement and Concrete Research"
"CEMARE Misc Publ","CEMARE Miscellaneous Publication"
"CEMARE Rep","CEMARE Report"
"CEMARE Res Pap","CEMARE Research Paper"
"CEMARE Tech Rep","CEMARE Technical Report"
"Cent Eur J Chem","Central European Journal of Chemistry"
"Cent Eur J Energetic Mater","Central European Journal of Energetic Materials"
"Cent Eur J Phys","Central European Journal of Physics"
"Cent Nerv Syst Agents Med Chem","Central Nervous System Agents in Medicinal Chemistry"
"Centro","Centro"
"Ceram Eng Sci Proc","Ceramic Engineering and Science Proceedings"
"Ceram Int","Ceramics International"
"Ceram Silik","Ceramics Silikaty"
"Ceram Trans","Ceramic Transactions"
"Cercet Mar","Cercetari Marine"
"Cereal Chem","Cereal Chemistry"
"Cereal Res Commun","Cereal Research Communications"
"Cereb Cortex","Cerebral Cortex"
"Ceres","Ceres"
"Chaos Solitons Fractals","Chaos Solitons and Fractals"
"Chem Methods","Chemistry Methods"
"Chem Afr","Chemistry Africa"
"Chem Anal Warsaw","Chemia Analityczna"
"Chem Anlagen Verfahren","Chemie Anlagen und Verfahren"
"Chem Asian J","Chemistry An Asian Journal"
"Chem Aust","Chemistry in Australia"
"Chem Ber","Chemische Berichte"
"Chem Ber Recl","Chemische BerichteRecueil"
"Chem Biochem Eng Q","Chemical and Biochemical Engineering Quarterly"
"Chem Biodivers","Chemistry and Biodiversity"
"Chem Biol Drug Des","Chemical Biology and Drug Design"
"Chem Biol Interact","ChemicoBiological Interactions"
"Chem Br","Chemistry in Britain"
"Chem Cent J","Chemistry Central Journal"
"Chem Commun","Chemical Communications"
"Chem Data Collect","Chemical Data Collections"
"Chem Ecol","Chemistry and Ecology"
"Chem Educ","Chemical Educator"
"Chem Educ Res Pract","Chemical Education Research and Practice"
"CHem Educ Res Pract Eur","Chemical Education Research and Practice in Europe"
"Chem Eng London","Chemical Engineer London"
"Chem Eng New York","Chemical Engineering New York"
"Chem Eng Commun","Chemical Engineering Communications"
"Chem Eng Educ","Chemical Engineering Education"
"Chem Eng J","Chemical Engineering Journal and the Biochemical Engineering Journal"
"Chem Eng News","Chemical and Engineering News"
"Chem Eng Process","Chemical Engineering and Processing Process Intensification"
"Chem Eng Process Process Intensif","Chemical Engineering and Processing Process Intensification"
"Chem Eng Prog","Chemical Engineering Progress"
"Chem Eng Res Des","Chemical Engineering Research and Design"
"Chem Eng Sci","Chemical Engineering Science"
"Chem Eng Technol","Chemical Engineering and Technology"
"Chem Erde","Chemie der Erde Geochemistry"
"Chem Eur J","Chemistry A European Journal"
"Chem Express","Chemistry Express"
"Chem Fibers Int","Chemical Fibers International"
"Chem Geol","Chemical Geology"
"Chem Health Saf","Chemical Health and Safety"
"Chem Heterocycl Compd","Chemistry of Heterocyclic Compounds"
"Chem Ind London","Chemistry and Industry"
"Chem Ing Tech","Chemie Ingenieur Technik"
"Chem Int","Chemistry International"
"Chem Lett","Chemistry Letters"
"Chem Listy","Chemicke Listy"
"Chem Mater","Chemistry of Materials"
"Chem Nat Compd","Chemistry of Natural Compounds"
"Chem Oceanogr","Chemical Oceanography"
"Chem Pap Chem Zvesti","Chemical Papers Chemicke Zvesti"
"Chem Pet Eng","Chemical and Petroleum Engineering"
"Chem Pharm Bull","Chemical and Pharmaceutical Bulletin"
"Chem Phys","Chemical Physics"
"Chem Phys Carbon","Chemistry and Physics of Carbon"
"Chem Phys Lett","Chemical Physics Letters"
"Chem Phys Lipids","Chemistry and Physics of Lipids"
"Chem Phys Res J","Chemical Physics Research Journal"
"Chem Phys Rev","Chemical Physics Reviews"
"Chem Process","Chemical Processing"
"Chem Prod Process Model","Chemical Product and Process Modeling"
"Chem Rec","Chemical Record"
"Chem Res Chin Univ","Chemical Research in Chinese Universities"
"Chem Res Toxicol","Chemical Research in Toxicology"
"Chem Rev","Chemical Reviews"
"Chem Sci","Chemical Science"
"Chem Sci Trans","Chemical Science Transactions"
"Chem Senses","Chemical Senses"
"Chem Soc Rev","Chemical Society Reviews"
"Chem Speciat Bioavailab","Chemical Speciation and Bioavailability"
"Chem Speciation Bioavailability","Chemical Speciation and Bioavailability"
"Chem Teach Int Best Pract Chem Educ","Chemistry Teacher International Best Practices in Chemistry Education"
"Chem Tech","ChemTech"
"Chem Tech Leipzig","Chemische Technik"
"Chem Technol Fuels Oils","Chemistry and Technology of Fuels and Oils"
"Chem unserer Zeit","Chemie in unserer Zeit"
"Chem Vap Deposition","Chemical Vapor Deposition"
"Chem Week","Chemical Week"
"Chem Zentralbl","Chemisches Zentralblatt"
"Chem Ztg","ChemikerZeitung"
"ChemAnal","The ChemistAnalyst"
"ChemBio Inf J","ChemBio Informatics Journal"
"ChemBioChem","ChemBioChem"
"ChemBioEng Rev","ChemBioEng Reviews"
"ChemCatChem","ChemCatChem"
"ChemMedChem","ChemMedChem"
"ChemNanoMat","ChemNanoMat"
"Chemom Intell Lab Syst","Chemometrics and Intelligent Laborary Systems"
"Chemosens Percept","Chemosensory Perception"
"Chemosphere","Chemosphere"
"ChemPhysChem","ChemPhysChem"
"ChemSusChem","ChemSusChem"
"Chesap Sci","Chesapeake Science"
"Chile Pesq","Chle Pesquero"
"Chiltons Food Eng","Chiltons Food Eng"
"Chim Ind","Chimica e lIndustria"
"Chim Ind Genie Chim","Chimie et Industrie Genie Chimique"
"Chim Nouv","Chimie Nouvelle"
"Chim Oggi","Chimica Oggi"
"Chin Astron Astrophy","Chinese Astronomy and Astrophysics"
"Chin Chem Lett","Chinese Chemical Letters"
"Chin Ger J Clin Oncol","ChineseGerman Journal of Clinical Oncology"
"Chin J Aeronaut","Chinese Journal of Aeronautics"
"Chin J Agric Biotechnol","Chinese Journal of Agricultural Biotechnology"
"Chin J Anal Chem","Chinese Journal of Analytical Chemistry"
"Chin J Astron Astrophys","Chinese Journal of Astronomy and Astrophysics"
"Chin J Biotechnol","Chinese Journal of Biotechnology"
"Chin J Catal","Chinese Journal of Catalysis"
"Chin J Chem","Chinese Journal of Chemistry"
"Chin J Chem Eng","Chinese Journal of Chemical Engineering"
"Chin J Chem Phys","Chinese Journal of Chemical Physics"
"Chin J Chromatogr","Chinese Journal of Chromatography"
"Chin J Geochem","Chinese Journal of Geochemistry"
"Chin J Geophys","Chinese Journal of Geophysics"
"Chin J Mar Drugs","Chinese Journal of Marine Drugs"
"Chin J Nucl Phys","Chinese Journal of Nuclear Physics"
"Chin J Oceanol Limnol","Chinese Journal of Oceanology and Limnology"
"Chin J Phys","Chinese Journal of Physics"
"Chin J Polym Sci","Chinese Journal of Polymer Science"
"Chin J Struct Chem","Chinese Journal of Structural Chemistry"
"Chin Phys","Chinese Physics"
"Chin Phys B","Chinese Physics B"
"Chin Phys C","Chinese Physics C"
"Chin Phys Lett","Chinese Physics Letters"
"Chin Sci Bull","Chinese Science Bulletin"
"China Commun","China Communications"
"China Environ Sci","China Environmental Sciences"
"China Geol","China Geology"
"China Ocean Eng","China Ocean Engineering"
"China Offshore Oil Gas Geol","China Offshore Oil Gas Geology"
"Chromatogr Sci Ser","Chromatographic Science Series"
"Chron New Res","Chronicle of the New Researcher"
"Chron UGGI","Chronique UGGI"
"Chronobiol Int","Chronobiology International"
"CIBCASIO Mem","CIBCASIO Memorias"
"CIBCASIO Trans","CIBCASIO Transactions"
"CIDEPINT Anal","CIDEPINT Anales"
"Ciel Terre","Ciel et Terre"
"Cienc Agrotecnol","Ciencia e Agrotecnologia"
"Cienc Biol","Ciencia Biologica"
"Cienc Biol Ecol Syst","Ciencia Biologica Ecology and Systematics"
"Cienc Biol Mol Cell Biol","Ciencia Biologia Molecular and Cellular Biology"
"Cienc Cult Sao Paulo","Ciencia e Cultura Sao Paulo"
"Cienc Desarro","Ciencia y Desarrollo"
"Cienc Interam","Ciencia Interamericana"
"Cienc Mar","Ciencias Marinas"
"Cienc Mar Mazatlan","Ciencias del Mar Mazatlan"
"Cienc Pesq","Ciencia Pesquera"
"Cienc Tecnol Aliment","Ciencia y Tecnologia Alimentaria"
"Cienc Tecnol Mar CONA","Ciencia y Tecnologia del Mar CONA"
"Cienc Tecnol Mar Valpso","Ciencia y Tecnologia del Mar Valparaiso"
"Cienc Tierra Espac","Ciencia de la Tierra y del Espacio"
"Cienc 8","CIENCIAS Serie 8 Investigaciones Marinas"
"Ciencias Mex","Ciencias Mexico"
"CIFA Ocass Pap","CIFA Occasional Paper"
"CIFA Techn Pap","CIFA Technical Paper"
"CIFNET Annu Rep","CIFNET Annual Report"
"CIFNET Bull","CIFNET Bulletin"
"Ciguatera Inf Bull","Ciguatera Information Bulletin"
"CIM Bull","CIM Bulletin"
"Cinesiologie Med Sport","Cinesiologie Medecine du sport"
"Circ Pa State Univ Ext Serv","Circular Pennsylvania State University Extension Service"
"Circ Genomic Precis Med","Circulation Genomic and Precision Medicine"
"CIRIA Tech Note","CIRIA Technical Note"
"CIRP Ann","CIRP Annals"
"CIRP J Manuf Sci Technol","CIRP Journal of Manufacturing Science and Technology"
"CISTI Occas Pap","CISTI Occasional Paper"
"City Environ Interact","City and Environment Interactions"
"Classical Quantum Gravity","Classical and Quantum Gravity"
"Clay Miner","Clay Minerals"
"Clay Res","Clay Research"
"Clays Clay Miner","Clays and Clay Minerals"
"Clean Energy","Clean Energy"
"Clean Technol Environ Policy","Clean Technologies and Environmental Policy"
"Clim Chang","Climatic Change"
"Clim Change","Climatic Change"
"Clim Dyn","Climate Dynamics"
"Clim Law","Climate Law"
"Clim Monit","Climate Monitor"
"Clim Past","Climate of the Past"
"Clim Past Discuss","Climate of the Past Discussion"
"Clim Res","Climate Research"
"Clim Risk Manage","Climate Risk Management"
"Clim Serv","Climate Services"
"Climatol Bull","Climatological Bulletin"
"Clin Biochem","Clinical Biochemistry"
"Clin Biomech","Clinical Biomechanics"
"Clin Chem","Clinical Chemistry"
"Clin Chem Lab Med","Clinical Chemistry and Laboratory Medicine"
"Clin Chim Acta","Clinica Chimica Acta"
"Clin Drug Invest","Clinical Drug Investigation"
"Clin EEG Neurosci","Clinical EEG and Neuroscience"
"Clin Endocrinol","Clinical Endocrinology"
"Clin Exp Dent Res","Cllinical and Experimental Dental Research"
"Clin Exp Pharmacol Physiol","Clinical and Experimental Pharmacology and Physiology"
"Clin Hemorheol Microcirc","Clinical Hemorheology and Microcirculation"
"Clin Imaging","Clinical Imaging"
"Clin Invest Med","Clinical and Investigative Medicine"
"Clin J Sport Med","Clinical Journal of Sport Medicine"
"Clin Mass Spectrom","Clinical Mass Spectrometry"
"Clin Mater","Clinical Materials"
"Clin Neuropharmacol","Clinical Neuropharmacology"
"Clin Neurophysiol Pract","Clinical Neurophysiology Practice"
"Clin Nucl Med","Clinical Nuclear Medicine"
"Clin Pharmacokinet","Clinical Pharmacokinetics"
"Clin Pharmacol Drug Dev","Clinical Pharmacology in Drug Development"
"Clin Pharmacol Ther","Clinical Pharmacology and Therapeutics"
"Clin Phys Physiol Meas","Clinical Physics and Physiological Measurement"
"Clin Physiol Funct Imaging","Clinical Physiology and Functional Imaging"
"Clin Phytosci","Clinical Phytoscience"
"Clin Proteomics","Clinical Proteomics"
"Clin Psychopharmacol Neurosci","Clinical Psychopharmacology and Neuroscience"
"Clin Radiol","Clinical Radiology"
"Clin Ther","Clinical Therapeutics"
"Clin Transl Immunol","Clinical and Translational Immunology"
"Clin Transl Neurosci","Clinical and Translational Neurocience"
"Clin Transl Sci","Clinical and Translational Science"
"Clothing Text Res J","Clothing and Textiles Research Journal"
"CMFRI Bull","CMFRI Bulletin"
"CMFRI Newsl","CMFRI Newsletter"
"CMFRI Spec Publ","CMFRI Special Publication"
"CNS Drug Rev","CNS Drug Reviews"
"CNS Neurosci Ther","CNS Neuroscience and Therapeutics"
"Coast Eng","Coastal Engineering"
"Coast Eng Jpn","Coastal Engineering in Japan"
"Coast Eng Tech Aid US Army Coast Eng Res Cent","Coastal Engineering Technical Aid US Army Coastal Engineering Research Center"
"Coast EngHaian Gongcheng","Coastal EngineeringHaian Gongcheng"
"Coast Manage","Coastal Management"
"Coastal Eng","Coastal Engineering"
"Coastal Eng J","Coastal Engineering Journal"
"Coastal Estuarine Stud","Coastal and Estuarine Studies"
"Cognit Comput Syst","Cognitive Computation and Systems"
"Cognit Syst Res","Cognitive Systems Research"
"Coke Chem","Coke and Chemistry"
"Cold Reg Sci Technol","Cold Regions Science and Technology"
"Cold Spring Harbor Mol Case Stud","Cold Spring Harbor Molecular Case Studies"
"Cold Spring Harbor Perspect Biol","Cold Spring Harbor Perspectives in Biology"
"Cold Spring Harbor Symp Quant Biol","Cold Spring Harbor Symposia on Quantitative Biology"
"Colecc Nac Man Capacit Secr Pesca Mex","Coleccion Nacional de Manuales de Capacitacion Secretaria de Pesca Mexico"
"Collect Czech Chem Commun","Collection of Czechoslovak Chemical Communications"
"Collect Ocean Works","Collected Oceanic Works"
"Collect Repr Atl Oceanogr Meteorol Lab","Collected Reprints Atlantic Oceanographic and Meteorological Laboratories"
"Collect Repr Div Biol Res","Collected Reprints Division of Biological Research"
"Collect Repr Ege Univ","Collected Reprints Ege University"
"Collect Repr Inst Meereskd Univ Kiel","Collected Reprints Institut fuer Meereskunde an der Universitae Kiel"
"Collect Repr Inst Oceanogr Sci","Collected Reprints Institute of Oceanographic Sciences"
"Collect Repr Israel Oceanogr Limnol Res","Collected Reprints Israel Oceanographic and Limnological Research"
"Collect Repr KORDI Res Pap","Collected Reprints KORDI Research Papers"
"Collect Repr Natl Inst Oceanogr","Collected Reprints National Institute of Oceanography"
"Collect Repr Ocean Res Inst","Collected Reprints The Ocean Research Institute"
"Collect Repr Or State Univ","Collected Reprints Oregon State University"
"Collect Repr Pac Mar Environ Lab","Collected Reprints Pacific Marine Environmental Laboratory"
"Collect Repr Scott Mar Biol Assoc","Collected Reprints Scottish Marine Biological Association"
"Collect Repr TongYeong Fish Jounior Coll","Collected Reprints TongYeong Fisheries Jounior College"
"Collect Repr Univ Tokyo","Collected Reprints University of Tokyo"
"Collect Repr Woods Hole Oceanogr Inst","Collected Reprints Woods Hole Oceanographic Institution"
"Collect Sci Pap ICSEAF","Collection of Scientific Papers International Commission for the Southeast Atlantic Fisheries"
"Collect Vol Sci Pap ICCAT","Collective Volume of Scientific Papers International Commission for the Conservation of Atlantic Tunas"
"Colloid Interface Sci Commun","Colloid and Interface Science Communications"
"Colloid J","Colloid Journal"
"Colloid Polym Sci","Colloid and Polymer Science"
"Colloids Surf A","Colloids and Surfaces A Physicochemical and Engineering Aspects"
"Colloids Surf B","Colloids and Surfaces B Biointerfaces"
"Colloq Inst Natl Rech Agron Fr","Colloques Institut National de la Recherche Agronomique France"
"Colloq Int Oceanol Ecosyst Marges Cont","Colloque International dOceanologie Ecosystemes de Marges Continentales"
"Colloq Semin Inst Fr Rech Sci Dev Coop ORSTOM","Colloque et Seminaires Institut Francais de Recherche Scientifique pour le Developpement en CooperationORSTOM"
"Colon Waterbirds","Colonial Waterbirds"
"Color Res Appl","Color Research and Application"
"Color Technol","Coloration Technology"
"Columbia J Environ Law","Columbia Journal of Environmental Law"
"Columbia J Transnatl Law","Columbia Jouranl of Transnational Law"
"Comb Chem","Combinatorial Chemistry an Online Journal"
"Comb Chem High Throughput Screening","Combinatorial Chemistry and High Throughput Screening"
"Comb Probab Comput","Combinatorics Probability and Computing"
"Combust Flame","Combustion and Flame"
"Combust Sci Technol","Combustion Science and Technology"
"Combust Theor Model","Combustion Theory and Modelling"
"Comments Astrophys","Comments on Astrophysics"
"Comments At Mol Phys","Comments on Atomic and Molecular Physics"
"Comments Condens Matter Phys","Comments on Condensed Matter Physics"
"Comments Inorg Chem","Comments on Inorganic Chemistry"
"Comments Mod Phys","Comments on Modern Physics"
"Commer Exter Prod Mer FIOM","Commerce Exterieur des Produits de la Mer FIOM"
"Commer Fish Abstr","Commercial Fisheries Abstracts"
"Commer Fish Rev","Commercial Fisheries Review"
"Commod Stat Bull Bur Agric Econ Aust","Commodity Statistical Bulletin Bureau of Agricultural Economics Australia"
"Commun ACM","Communications of the ACM"
"Commun Agric Appl Biol Sci","Communications in Agricultural and Applied Biological Sciences"
"Commun Biol","Communications Biology"
"Commun Chem","Communications Chemistry"
"Commun Comput Phys","Communications in Computational Physics"
"Commun Earth Environ","Communications Earth and Environment"
"Commun Integr Biol","Communicative and Integrative Biology"
"Commun Mater","communications Materials"
"Commun Math Phys","Communications in Mathematical Physics"
"Commun Nonlinear Sci Numer Simul","Communications in Nonlinear Science and Numerical Simulation"
"Commun Numer Methods Eng","Communications in Numerical Methods in Engineering"
"Commun Phys","Communications Physics"
"Commun Pure Appl Math","Communications on Pure and Applied Mathematics"
"Commun Soil Sci Plant Anal","Communications in Soil Science and Plant Analysis"
"Commun Theor Phys","Communications in Theoretical Physics"
"Comp Biochem Physiol A","Comparative Biochemistry and Physiology A Physiology"
"Comp Biochem Physiol A Mol Integr Physiol","Comparative Biochemistry and Physiology Part A Molecular and Integrative Physiology"
"Comp Biochem Physiol B","Comparative Biochemistry and Physiology B Biochemistry and Molecular Biology"
"Comp Biochem Physiol B Biochem Mol Biol","Comparative Biochemistry and Physiology Part B Biochemistry and Molecular Biology"
"Comp Biochem Physiol C","Comparative Biochemistry and Physiology C Pharmacology Toxicology and Endocrinology"
"Comp Biochem Physiol C Pharmacol Toxicol Endocrinol","Comparative Biochemistry and Physiology Part C Pharmacology Toxicology and Endocrinology"
"Comp Biochem Physiol C Toxicol Pharmacol","Comparative Biochemistry and Physiology Part C Toxicology and Pharmacology"
"Comp Biochem Physiol D Genomics Proteomics","Comparative Biochemistry and Physiology Part D Genomics and Proteomics"
"Comp Cytogenet","Comparative Cytogenetics"
"Comp Gen Pharmacol","Comparative and General Pharmacology"
"Comp Physiol Ecol","Comparative Physiology and Ecology"
"Compl Rep US Geol Surv","Completion Report US Geological Survey"
"Compl Rep US Nav Civ Eng Lab","Completion Report US Naval Civil Engineering Laboratory"
"Compl Rep US Nav Environ Predict Res Facil","Completion Report US Naval Environmental Prediction Research Facility"
"Complet Rep Ala Dep Conserv Nat Resour","Completion Report Alabama Department of Conservation and Natural Resources"
"Complet Rep Ark Game Fish Comm","Completion Report Arkansas Game and Fish Commission"
"Complet Rep Conn Dep Environ Prot","Completion Report Connecticut Department of Environmental Protection"
"Complet Rep Dep Fish Game Alsk","Completion Report Department of Fish and Game Alaska"
