"author","year","title","container","publisher","doi","url","File","ID","journal_disam","container_match_journal","pub_match_journal","container_match_agency","author_match_agency","pub_match_agency","container_match_conf","pub_match_conf","container_match_agency_p","author_match_agency_p","pub_match_agency_p","training_input","class","classification"
"Schmidt, Kenneth D; Associates","2014",NA,NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","19",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Schmidt, Kenneth D; Associates","unsure","keras"
"Schmidt, Kenneth D; Associates","2015",NA,NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","20",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Schmidt, Kenneth D; Associates","unsure","keras"
"Luhdorff & Scalmanini","1993","Results of Aquifer Tests Near Mendota Pool",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","21",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Luhdorff & Scalmanini","delete","keras"
"Luhdorff; Engineers, Scalmanini Consulting; Schmidt, KD","2001",NA,NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","22",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Luhdorff; Engineers, Scalmanini Consulting; Schmidt, KD","unsure","keras"
"Luhdorff & Scalmanini & KDSA","2017",NA,"SJRECWA Paramount Farming Company and MPG",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","23","SJRECWA Paramount Farming Company and MPG",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"SJRECWA Paramount Farming Company and MPG","delete","keras"
"Mitten, HT; LeBlanc, RA; Bertoldi, GL","1970","Geology Hydrology and Quality of Water in the Madera Area San Joaquin Valley California",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","26",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Mitten, HT; LeBlanc, RA; Bertoldi, GL","unsure","keras"
"Page, RW","1973","Base of Fresh Ground Water Approximately 3000 Micromhos in the San Joaquin Valley California",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","27",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Page, RW","delete","keras"
"Prokopovitch, NP","1969","Land Subsidence Along DeltaMendota Canal California","Rock Mechanics",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","29","Rock Mechanics",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Rock Mechanics","unsure","keras"
"Redlin, GA","2001","Los Banos Area Groundwater Study",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","30",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Redlin, GA","unsure","keras"
"Stoddard, R","2003","City of Los Banos Storm Drainage Master Plan Phase 1 Storm Drainage Disposal",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","31",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Stoddard, R","unsure","keras"
"AECOM","2011",NA,NA,NA,NA,"https://water.ca.gov/LegacyFiles/lgagrant/docs/applications/City%20of%20Patterson%20(201209870076","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","33",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"AECOM","unsure","keras"
"Belitz, K; Heimes, FJ","1990","Character and Evolution of GroundWater Flow System in the Central Part of the Western San Joaquin Valley California","USGS WaterSupply Paper 2348",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","34","USGS WaterSupply Paper 2348",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"USGS WaterSupply Paper 2348","unsure","keras"
"Bertoldi, GL; Johnston, RH; Evenson, KD","1991","Ground Water in the",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","35",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Bertoldi, GL; Johnston, RH; Evenson, KD","unsure","keras"
"Borchers, JW; Carpenter, M","2014","Land Subsidence from Groundwater Use in California",NA,NA,NA,"https://water.ca.gov/LegacyFiles/waterplan/docs/cwpu2013/Final/vol4/groundwater/13Land_Subsidence_","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","37",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Borchers, JW; Carpenter, M","delete","keras"
"Assembly, California","2014","Assembly Bill No Water Quality Supply and Infrastructure Improvements Act of 2014",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","38",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Assembly, California","unsure","keras"
NA,"2013","California Lakes Shapefile",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","40",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"California Lakes Shapefile","unsure","keras"
NA,"2016","California Streams Shapefile",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","42",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"California Streams Shapefile","unsure","keras"
NA,"1965","San Joaquin Valley Drainage Investigation San Joaquin Master Drain","Department of Water Resources Bulletin No127",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","43","Department of Water Resources Bulletin No127",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"Department of Water Resources Bulletin No127","unsure","keras"
NA,"1981","Water Well Standards State of California Bulletin 7481",NA,NA,NA,"https://www.water.ca.gov/-/media/DWR-Website/Web-Pages/Programs/GroundwaterManagement/Wells/Files/Bulletin-74-81-Water-Well-Standards-State-of-California-December1981.pdf?la=en&hash=7B64FA212D189E07BE9B1FA909B5C8FECDA20D68.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","44",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Water Well Standards State of California Bulletin 7481","unsure","keras"
NA,"1998","The California Water Plan Update",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","46",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"The California Water Plan Update","unsure","keras"
NA,"2003","Californias Groundwater Bulletin 118 Update 2003",NA,NA,NA,"https://water.ca.gov/-/media/DWR-Website/Web-Pages/Programs/GroundwaterManagement/Bulletin-118/Files/Statewide-Reports/Bulletin_118_Update_2003.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","47",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Californias Groundwater Bulletin 118 Update 2003","unsure","keras"
NA,"2009","California Statewide Groundwater Elevation Monitoring CASGEM Database",NA,NA,NA,"https://www.casgem.water.ca.gov.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","50",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"California Statewide Groundwater Elevation Monitoring CASGEM Database","unsure","keras"
NA,"2016","Best Management Practices for the Sustainable Management of Groundwater Monitoring Protocols Standards and Sites",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","52",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Best Management Practices for the Sustainable Management of Groundwater Monitoring Protocols Standards and Sites","unsure","keras"
NA,"2017","California Aqueduct Subsidence Study",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","56",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"California Aqueduct Subsidence Study","delete","keras"
NA,"2017","DRAFT Best Management Practices for the",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","58",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"DRAFT Best Management Practices for the","delete","keras"
NA,NA,"Sustainable Management of Groundwater Sustainable Management Criteria BMP",NA,NA,NA,"https://water.ca.gov//media/DWR-Website/Web-Pages/Programs/Groundwater-Management/Sustainable-GroundwaterManagement/Best-Management-Practices-and-Guidance-Documents/Files/BMP-6-SustainableManagement-Criteria-DRAFT.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","59",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Sustainable Management of Groundwater Sustainable Management Criteria BMP","journal","keras"
NA,"2018","Evaluation of the Effect of Subsidence on Flow Capacity in the Chowchilla and Eastside Bypasses and Reach 4a of the",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","60",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Evaluation of the Effect of Subsidence on Flow Capacity in the Chowchilla and Eastside Bypasses and Reach 4a of the","unsure","keras"
NA,"2018","Water Data Library Database",NA,NA,NA,"http://wdl.water.ca.gov/waterdatalibrary/.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","61",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Water Data Library Database","unsure","keras"
NA,"2018","Economically Distressed Areas Mapping Tool",NA,NA,NA,"https://gis.water.ca.gov/app/edas/.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","63",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Economically Distressed Areas Mapping Tool","unsure","keras"
NA,"2018","Natural Communities Commonly Associated with Groundwater NCCAG Dataset",NA,NA,NA,"https://gis.water.ca.gov/app/NCDatasetViewer/#.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","64",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Natural Communities Commonly Associated with Groundwater NCCAG Dataset","delete","keras"
NA,"2019","CA Bulletin 118 Groundwater Basins Shapefile",NA,NA,NA,"https://data.cnra.ca.gov/dataset/ca-bulletin-118-groundwater-basins.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","65",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"CA Bulletin 118 Groundwater Basins Shapefile","unsure","keras"
NA,"2018","NASA JPL InSAR Subsidence Data",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","66",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"NASA JPL InSAR Subsidence Data","unsure","keras"
"Caltrans","2017",NA,NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","71",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Caltrans","unsure","keras"
"Caltrans","2018","California National Highway System Shapefile",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","73",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Caltrans","unsure","keras"
"Corwin, DL","2012","Fieldscale Monitoring of the Longterm Impact and Sustainability of Drainage Water Reuse on the West Side of Californias San Joaquin Valley","Journal of Environmental Monitoring",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","75","Journal of Environmental Monitoring",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Journal of Environmental Monitoring","journal","keras"
"Croft, MG","1972","Subsurface Geology of the Late Tertiary and Quarternary Waterbearing Deposits of the Southern Part of the",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","76",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Croft, MG","delete","keras"
NA,"2017","East Stanislaus Region Integrated Regional",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","80",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"East Stanislaus Region Integrated Regional","unsure","keras"
NA,"2018","Water Management Plan Update Public Draft",NA,NA,NA,"http://www.eaststanirwm.org/documents/2017-esirwmppublicdraft.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","81",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Water Management Plan Update Public Draft","unsure","keras"
"Farr, Tom G; Jones, Cathleen E; Lieu, Zhen","2017",NA,NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","82",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Farr, Tom G; Jones, Cathleen E; Lieu, Zhen","delete","keras"
"Farrar, CD; Bertoldi, GL","1988","Region 4 Central Valley and Pacific Coast Ranges","Hydrogeology Boulder Colorado Geological Society of America Geology of North America",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","84","Hydrogeology Boulder Colorado Geological Society of America Geology of North America",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Hydrogeology Boulder Colorado Geological Society of America Geology of North America","journal","keras"
"Faunt, CC; Sneed, M; Traum, J; Brandt, JT","2015","Water Availability and Land Subsidence in the Central Valley",NA,NA,NA,"https://link.springer.com/content/pdf/10.1007%2Fs10040-015-1339x.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","87",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Faunt, CC; Sneed, M; Traum, J; Brandt, JT","delete","keras"
"Fio, JL","1994","Calculation of a Water Budget and Delineation of Contributing Sources to Drainflows in the Western San Joaquin Valley California",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","88",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Fio, JL","unsure","keras"
"Foss, FD; Blaisdell, R","1968","Stratigraphy of the West Side Southern San Joaquin Valley",NA,NA,NA,"http://www.sanjoaquingeologicalsociety.org/wp-content/abstracts/1968_Foss_Blaisdell.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","89",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Foss, FD; Blaisdell, R","unsure","keras"
"Hotchkiss, WR","1972","Generalized Subsurface Geology of Waterbearing Deposits",NA,NA,"10.3133/ofr73119.",NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","92",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"10.3133/ofr73119.","unsure","keras"
"Hotchkiss, WR; Balding, GO","1971","Hydrology and Water Quality of the TracyDos Palo Area",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","93",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Hotchkiss, WR; Balding, GO","unsure","keras"
"Jacob, CE","1940","On the Flow of Water in an Elastic Artesian Aquifer","American Geophysical Union Trans Pt",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","96","American Geophysical Union Transportation Pt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"American Geophysical Union Trans Pt","unsure","keras"
"Jennings, CW; Strand, RG","1958","Geological Atlas of California",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","97",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Jennings, CW; Strand, RG","unsure","keras"
"Luhdorff; Engineers, Scalmanini Consulting","2011","State of California Well Completion Report",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","99",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Luhdorff; Engineers, Scalmanini Consulting","unsure","keras"
"Luhdorff; Engineers, Scalmanini Consulting; Engineering, Davids; Associates, Larry Walker","2015","Western San Joaquin River Watershed Groundwater Quality Assessment Report",NA,NA,NA,"https://www.waterboards.ca.gov/centralvalley/water_issues/irrigated_lands/water_quality/coalitions_sub","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","100",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Luhdorff; Engineers, Scalmanini Consulting; Engineering, Davids; Associates, Larry Walker","unsure","keras"
"Luhdorff; Engineers, Scalmanini Consulting","2016","Grassland Drainage Area Groundwater Quality Assessment Report",NA,NA,NA,"https://www.waterboards.ca.gov/centralvalley/water_issues/irrigated_lands/water_quality/coalitions_sub","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","101",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Luhdorff; Engineers, Scalmanini Consulting","unsure","keras"
"Madera Regional Water Management Group","2014","Madera Integrated Regional Water Management Plan Final Draft",NA,NA,NA,"https://water.ca.gov/LegacyFiles/irwm/grants/docs/PlanReviewProcess/Madera_IRWMP/Madera%20IR","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","102",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Madera Regional Water Management Group","unsure","keras"
"McBain; Trush, Inc","2002",NA,NA,NA,NA,"https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/bay_delta_plan/water_qual","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","103",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"McBain; Trush, Inc","delete","keras"
"Mosley, J","2017",NA,NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","104",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Mosley, J","delete","keras"
"National Resources Conservation Service","2009",NA,NA,NA,NA,"http://www.waterboards.ca.gov/water_issues/programs/water_quality_goals/search.shtml.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","105",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"National Resources Conservation Service","agency","keras"
"Ogden, GR","1988","Agricultural Land Use and Wildlife in the San Joaquin Valley 17691930 an Overview","SOLO Heritage Research San Joaquin Valley Drainage Program US Department of Interior",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","107","SOLO Heritage Research San Joaquin Valley Drainage Program US Department of Interior",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"SOLO Heritage Research San Joaquin Valley Drainage Program US Department of Interior","agency","keras"
"Page, RW","1973","Base of Fresh Groundwater Approximately 2000 Micromhos in the San Joaquin Valley",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","108",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Page, RW","delete","keras"
"Rohde, MM; Matsumoto, S; Howard, J; Liu, S; Riege, L; Remson, EJ","2018","Groundwater Dependent Ecosystems under the Sustainable Groundwater Management Act Guidance for Preparing Groundwater Sustainability Plans",NA,NA,NA,"https://www.scienceforconservation.org/assets/downloads/GDEsUnderSGMA.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","111",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Rohde, MM; Matsumoto, S; Howard, J; Liu, S; Riege, L; Remson, EJ","delete","keras"
"Program, San Joaquin River Restoration",NA,"Subsidence Monitoring Database",NA,NA,NA,"http://www.restoresjr.net/science/subsidence-monitoring/.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","112",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Program, San Joaquin River Restoration","unsure","keras"
"Luis, San; Authority, DeltaMendota Water","2019","WestsideSan Joaquin Integrated Regional Water Management Plan",NA,NA,NA,"https://www.ci.patterson.ca.us/DocumentCenter/View/4868/WSJ_IRWMP_2019_Final_w_appendices?bi","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","113",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Luis, San; Authority, DeltaMendota Water","unsure","keras"
NA,NA,"SLDMWA Member Agencies Shapefile",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","114",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"SLDMWA Member Agencies Shapefile","delete","keras"
NA,NA,"DeltaMendota Canal Check Points Coordinates",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","115",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"DeltaMendota Canal Check Points Coordinates","unsure","keras"
"Schmidt, KD; Associates","1997",NA,NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","116",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Schmidt, KD; Associates","unsure","keras"
"Schmidt, KD; Associates","2015","Groundwater Overdraft in the DeltaMendota Subbasin",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","117",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Schmidt, KD; Associates","unsure","keras"
"Sneed, M; Brandt, JT","2015","Land Subsidence in the San Joaquin Valley",NA,NA,NA,"https://www.proc-iahs.net/372/23/2015/piahs-372-23-2015.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","119",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Sneed, M; Brandt, JT","delete","keras"
"State of California","2015","Senior Water Rights Curtailed in Delta San Joaquin and Sacramento Watersheds",NA,NA,NA,"http://www.drought.ca.gov/topstory/top-story-37.html.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","120",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"State of California","unsure","keras"
NA,"2018","Web Soil Survey",NA,NA,NA,"https://websoilsurvey.nrcs.usda.gov/.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","122",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Web Soil Survey","unsure","keras"
"Sullivan, PJ; Sposito, G; Strathouse, SM; Hansen, CL","1979","Geologic Nitrogen and the Occurrence of High Nitrate Soils in Western San Joaquin Valley California","Hilgardia",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","123","Hilgardia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Hilgardia","unsure","keras"
"Swanson, AA","1998","Land Subsidence in the San Joaquin Valley Updated to 1995 Land Subsidence Case Studies and Current Research","Proceedings of the Dr Joseph F Poland Symposium on Land Subsidence Association of Engineering Geologists Special Publication",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","124","Proceedings of the Dr Joseph F Poland Symposium on Land Subsidence Association of Engineering Geologists Special Publication",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Proceedings of the Dr Joseph F Poland Symposium on Land Subsidence Association of Engineering Geologists Special Publication","unsure","keras"
"Conservancy, The Nature","2014","Groundwater and Stream Interaction in Californias Central Valley Insights for Sustainable Groundwater Management",NA,NA,NA,"https://www.scienceforconservation.org/assets/downloads/GroundwaterStreamInteraction_2016.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","125",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Conservancy, The Nature","journal","keras"
NA,"2018","The Nature Conservancy TNC Identifying Environmental Surface Water Users Freshwater",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","126",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"The Nature Conservancy TNC Identifying Environmental Surface Water Users Freshwater","journal","keras"
NA,NA,"Species List for Each Groundwater Basin Dataset",NA,NA,NA,"https://groundwaterresourcehub.org/gdetools/environmental-surface-water-beneficiaries/.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","127",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Species List for Each Groundwater Basin Dataset","unsure","keras"
"UNAVCO","2019","UNAVCOs Monitoring Network Map Database",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","128",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"UNAVCO","unsure","keras"
NA,"2017","Population Estimates Program",NA,NA,NA,"list()","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","132",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"Population Estimates Program","unsure","keras"
"Survey, United States Geological","2000","Water Resources Data for California 19102000 for Various Gaging Stations Within the",NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","133",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,"Survey, United States Geological","agency","keras"
